site,canopy_cover.prop,canopy_cover.centered,stand_area.m2ha,stand_area.scaled
L1,0.8986000000000001,-0.008449999999999958,120,1.3220428725378741
L2,0.9376,0.030549999999999966,70,-0.9771621231801678
L3,0.8908,-0.016249999999999987,80,-0.5173211240365594
L4,0.9012,-0.005850000000000022,95,0.17244037467885315
