Year,Focal,Distribution,Estimate,Est.Error,CI.Lower,CI.Upper
2018,Ev adult,binary,-0.10459461332844107,1.342587716868404,-2.7884205491698753,2.5591099084584297
2018,Ev adult,continuous,-0.08257049448093508,0.2174752300803169,-0.509230115721303,0.34298593497784347
2018,Ev first-year,binary,1.0002384168871938,0.6890714628958741,-0.2690226939319509,2.4407512284762096
2018,Ev first-year,continuous,-0.06216723012341285,0.26693953099428863,-0.5833251129442872,0.4595353392117184
2018,Mv,binary,-2.237033997599056,51.47331412751991,-108.32377980837614,102.71942879545021
2018,Mv,continuous,0.061863131183724815,0.20744250086204888,-0.34514304378661226,0.4647764230939244
2019,Ev adult,binary,1.4175793209469219,1.1506556554931202,-0.6778123787660549,3.8416947701981665
2019,Ev adult,continuous,0.12365452931547483,0.23347262840813648,-0.3362007667776105,0.5786756224063947
2019,Ev first-year,binary,0.35882055952996594,0.532825758006675,-0.6693064331214996,1.4400095937622803
2019,Ev first-year,continuous,0.09249951918112377,0.18185881971771545,-0.2635740297254047,0.4477707418825976
2019,Mv,binary,-1.00882430533153,1.6526088287828793,-4.6281275832762185,1.9064462386972945
2019,Mv,continuous,-0.006486646508131361,0.15740930896347274,-0.31843249701754195,0.30253120409373074
