Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(-density:focs) = 0,0.001733430710293957,0.0047659703954781975,-0.0077994005885308575,0.01110544550770387,NA,NA,
(-density:focs-density:focs:fungicide) = 0,0.005656658583000948,0.004974121709833867,-0.004133398902862774,0.015486729636585048,NA,NA,
(-density:foca) = 0,0.00341017461201001,0.0062496661253877445,-0.008866872530293743,0.01564633841668158,NA,NA,
(-density:foca-density:foca:fungicide) = 0,0.006540558472348533,0.006416512225937765,-0.006320092536331865,0.018974792730933988,NA,NA,
(0.5*(density:focs+density:focs:bgs+density:foca+density:foca:bgs)) = 0,0.017660960245013884,0.021758183226147008,-0.02493628479563786,0.060573856286169646,NA,NA,
(0.5*(density:focs+density:focs:bgs+density:focs:fungicide+density:focs:bgs:fungicide+density:foca+density:foca:bgs+density:foca:fungicide+density:foca:bgs:fungicide)) = 0,0.0033101046563486134,0.023525824832791316,-0.042650129375921074,0.04909669208254607,NA,NA,
(0.5*(density:focs+density:focs:bga+density:foca+density:foca:bga)) = 0,0.034681509688068476,0.04456028978131974,-0.05286103994399831,0.1234247678720029,NA,NA,
(0.5*(density:focs+density:focs:bga+density:focs:fungicide+density:focs:bga:fungicide+density:foca+density:foca:bga+density:foca:fungicide+density:foca:bga:fungicide)) = 0,-0.08873841452118772,0.05399495251954787,-0.19285994170096513,0.017164995985174986,NA,NA,
