Covariate,Estimate_16,Est.Error_16,l-95% CI_16,u-95% CI_16,Estimate_20,Est.Error_20,l-95% CI_20,u-95% CI_20
(Intercept),-2.7032870411220746,0.16849628398464547,-3.0403312935778612,-2.3815290005942997,-1.4925232993034576,0.1496009052816152,-1.7897199452166381,-1.2007439339581243
1st yr comp,0.7061128862685747,0.31587356611340817,0.07908514855996375,1.318774443183946,-0.8376004623207889,0.3350412178636698,-1.5078511580771412,-0.19195892769730827
adult comp,0.7551433063271442,0.3077362434843285,0.13429780712617076,1.3412691315981502,-0.7547258725178134,0.3683233922417705,-1.4937175701407863,-0.056358489026482876
fung,-0.46572016167908814,0.2480215000056069,-0.9425176191393088,0.029452829655487015,-1.3433563314210435,0.23560122671978878,-1.8100507610652137,-0.884573632001181
src invader,0.028814547625109065,0.28730218775684213,-0.5660356854693919,0.5688828782334563,0.24971305243675201,0.09899111996681563,0.05249490463287741,0.44448477256784735
src 1st yr,0.055745513470006704,0.07088598710873201,-0.09144912049655039,0.18746714366136338,0.07211088099864045,0.06868567394018503,-0.06501737930748858,0.20595117048585507
src adult,0.038620714403430983,0.10191453301692657,-0.17363007309692885,0.22847715992870782,0.06277704344853142,0.10448993659147933,-0.1495365936987226,0.26246351617654573
src surr,0.014286869617512087,0.008222220035313133,-0.0021389690146646815,0.0301046877473295,NA,NA,NA,NA
1st yr comp:fung,0.37724848038888426,0.4077226894258485,-0.4267458199440556,1.1788593708718988,0.7022783918520085,0.41296785952265824,-0.11628996342704856,1.5075249958591246
adult comp:fung,0.031964336747209464,0.4270028682833886,-0.8090621074506765,0.8661932174932081,0.9866980198889982,0.4806116183481665,0.03060623266154907,1.9308562444969168
1st yr comp:src invader,0.07391561687062682,0.39960385052156155,-0.7332813066755081,0.8289090345486818,-0.48319543384852637,0.5422494103925936,-1.5606282732779584,0.5636949767139356
adult comp:src invader,0.38669022755921584,0.5247185728598371,-0.6986319334953484,1.3761603455374019,-0.24126371658070128,0.20643842808059865,-0.7068049766821856,0.1158979166979582
1st yr comp:src 1st yr,0.42017305076610456,0.2802179429454592,-0.14827274673040944,0.9561354311400861,-0.11814302961362283,0.11538673233885807,-0.361323520899702,0.09261368154637646
adult comp:src 1st yr,-0.0030086070725100517,0.16510151007325347,-0.34214293776363613,0.30388191463980907,-0.49013581318117116,0.2886893844924193,-1.1101663947918623,0.013157407410234087
1st yr comp:src adult,0.3394718119014018,0.24642945430148874,-0.1795199773779082,0.7951534374248358,-0.43589949507377274,0.4893137683452345,-1.4674771535663296,0.4318023763765913
adult comp:src adult,-0.15237533383372578,0.28629919260799214,-0.7977579617557922,0.33360906894122033,-0.27852932461933233,0.8352711143670204,-1.9454077791803563,1.3266525819749035
1st yr comp:src surr,-0.024062539215400778,0.014197661492791008,-0.05209009014097622,0.003819658918729246,NA,NA,NA,NA
adult comp:src surr,-0.052265734067587964,0.023534880551873635,-0.10018324671994819,-0.008086734064225153,NA,NA,NA,NA
fung:src invader,0.1462212272296974,0.48468719435217594,-0.8205984404365945,1.0685081247328039,0.05357170250115206,0.39103771935261156,-0.7246130694317441,0.7970319766376088
fung:src 1st yr,-0.04833042704505512,0.1362923334851487,-0.32518730551432073,0.20751915126991846,-0.08068312577150805,0.20195781212909464,-0.4930888254356365,0.3025038523889891
fung:src adult,-0.17217525923761798,0.26747360479487803,-0.7357959713492048,0.3215441680544512,0.04206765087630198,0.26484226453085064,-0.4994293313172914,0.5455040469914394
fung:src surr,-0.02129204625933364,0.015763664981451517,-0.05231090980940617,0.008947434916375837,NA,NA,NA,NA
1st yr comp:fung:src invader,-0.3023716892340028,0.6881831291732933,-1.6822205164699329,1.0103210989650733,0.5937269740627267,0.6994961062685788,-0.7954834166735067,1.9456261572296172
adult comp:fung:src invader,0.4577837519220923,0.7085321843153483,-0.9425725081117137,1.8526848789249728,0.05229526058574606,0.6815428566805017,-1.3393254709209121,1.3443428001334616
1st yr comp:fung:src 1st yr,0.07498119407456083,0.403434773269396,-0.734034487338043,0.8574124155950532,-0.010431210595902182,0.2932213213685049,-0.6003602386178819,0.5689470974119123
adult comp:fung:src 1st yr,0.0811662114633524,0.22446569900420052,-0.35830856318722126,0.5243544655609588,0.07704509589188072,0.7945590160000511,-1.5558576496794825,1.5667074646785493
1st yr comp:fung:src adult,0.1339895189968999,0.7315835830013144,-1.3273387245269825,1.5387777814878685,0.3243711429698371,0.8967454229582583,-1.4426427750381905,2.079750450024179
adult comp:fung:src adult,-0.0735106253357797,0.655153116274578,-1.401036873806252,1.157226658161408,-0.08208552600829576,0.9613877711322468,-1.9487575720276797,1.8224954250320544
1st yr comp:fung:src surr,-0.005966221772450061,0.025730115903144998,-0.056700379508312485,0.04486818404507171,NA,NA,NA,NA
adult comp:fung:src surr,0.0440341210187196,0.0327597403123794,-0.01949365483772601,0.1087616786014112,NA,NA,NA,NA
