age,response,parameter,Estimate,Est.Error,CI.Lower,CI.Upper,Star
seedling,biomass,b0,-0.1630952341512715,0.6860131008519819,-1.765307992553614,1.005769498490153,
seedling,biomass,alpha,-0.015998635611792034,0.024019561177153707,-0.0746380483759463,0.016239269149661423,
seedling,seeds,b0,-0.6483350302152154,2.6894254967716966,-6.0221125518357415,4.708655402307371,
seedling,seeds,alpha,8.048858189965683e-5,0.03875497226022348,-0.038194071954051556,0.04818063794292941,
adult,biomass,b0,-0.8343174187323332,2.8813453960116435,-6.871156310030783,4.490544748289397,
adult,biomass,alpha,-0.1886082007043866,0.16206167603304653,-0.535678845937668,-0.005583122927658216,*
adult,seeds,b0,1.829972831060785,14.086873966829167,-25.6005358612049,29.28251209402422,
adult,seeds,alpha,-0.20174838343204457,0.550383147888879,-1.537787283402562,0.23733343802291657,
