foc_sp_age,year,treatment,bg_sp_age,beta,.lower,.upper,.width,.point,.interval,sig
Ev adult,2018,fungicide,Ev adult,-0.6801018015992124,-1.472792204139092,0.08782891602507131,0.95,median,hdi,includes 0
Ev adult,2018,fungicide,Ev seedling,-0.1791446123301193,-1.3738294778621403,1.045876134406362,0.95,median,hdi,includes 0
Ev adult,2018,fungicide,Mv,0.1530180747547558,-1.1215410497690939,1.382913639653735,0.95,median,hdi,includes 0
Ev adult,2018,control (water),Ev adult,-0.25551906776551847,-0.7628145452286037,0.2030751127172463,0.95,median,hdi,includes 0
Ev adult,2018,control (water),Ev seedling,0.16493608791716846,-0.5319741942447235,0.853102862322911,0.95,median,hdi,includes 0
Ev adult,2018,control (water),Mv,0.6995846036392687,0.029161527102564366,1.3342900602935075,0.95,median,hdi,omits 0
Ev adult,2019,fungicide,Ev adult,-0.6046620532343414,-1.2034336556757304,-0.018276915849679276,0.95,median,hdi,omits 0
Ev adult,2019,fungicide,Ev seedling,-0.16428330262560098,-0.9789771420462048,0.6253604046490586,0.95,median,hdi,includes 0
Ev adult,2019,fungicide,Mv,-0.056479504169650224,-2.2583995937543637,2.2446598967876157,0.95,median,hdi,includes 0
Ev adult,2019,control (water),Ev adult,-0.40138539152908914,-1.3776254158147474,0.5785968581099107,0.95,median,hdi,includes 0
Ev adult,2019,control (water),Ev seedling,-0.08217543918068763,-1.4786763165425008,1.2860929737955504,0.95,median,hdi,includes 0
Ev adult,2019,control (water),Mv,0.15514638928769556,-0.5506085397075373,0.8769396289082592,0.95,median,hdi,includes 0
Ev seedling,2018,fungicide,Ev adult,0.9983583733571952,-0.6428719589297724,2.6653645710838547,0.95,median,hdi,includes 0
Ev seedling,2018,fungicide,Ev seedling,-0.1159990118077926,-0.7474755484440982,0.5263946647289716,0.95,median,hdi,includes 0
Ev seedling,2018,fungicide,Mv,0.9135725830909336,-0.39226938079271867,2.1619475532835244,0.95,median,hdi,includes 0
Ev seedling,2018,control (water),Ev adult,0.4617893107366867,-0.3850869736206197,1.2805213153956232,0.95,median,hdi,includes 0
Ev seedling,2018,control (water),Ev seedling,-0.19486168402158544,-1.004105012827022,0.6570016740966893,0.95,median,hdi,includes 0
Ev seedling,2018,control (water),Mv,0.3286200718667731,-0.5319679369233151,1.1455883681888182,0.95,median,hdi,includes 0
Ev seedling,2019,fungicide,Ev adult,-0.04950343731375914,-0.4158727197714816,0.32310254651948056,0.95,median,hdi,includes 0
Ev seedling,2019,fungicide,Ev seedling,-0.2031387053730902,-0.6257262636636625,0.21272128060187723,0.95,median,hdi,includes 0
Ev seedling,2019,fungicide,Mv,0.6304093956873574,-1.1924251213440136,2.5736686897456575,0.95,median,hdi,includes 0
Ev seedling,2019,control (water),Ev adult,-0.4465557826120458,-1.3202677363687072,0.4466126080127265,0.95,median,hdi,includes 0
Ev seedling,2019,control (water),Ev seedling,-0.4569569959192159,-0.8695557332579179,-0.07621611843893669,0.95,median,hdi,omits 0
Ev seedling,2019,control (water),Mv,0.11218512138894246,-0.2226722535365131,0.4585915171208538,0.95,median,hdi,includes 0
Mv,2018,fungicide,Ev adult,0.5058435117337622,0.00725340883554243,0.9704045516489619,0.95,median,hdi,omits 0
Mv,2018,fungicide,Ev seedling,0.1965666110137231,-0.08411245340589091,0.5066762604437407,0.95,median,hdi,includes 0
Mv,2018,fungicide,Mv,-0.2682748019975099,-0.5985221410348168,0.07486441302892419,0.95,median,hdi,includes 0
Mv,2018,control (water),Ev adult,0.028189489678128482,-0.24469153014273068,0.3022741002631105,0.95,median,hdi,includes 0
Mv,2018,control (water),Ev seedling,-0.29042585338586707,-0.7993372431512554,0.19721572111750457,0.95,median,hdi,includes 0
Mv,2018,control (water),Mv,-0.2818519684446905,-0.51652211817415306,-0.043271419519295584,0.95,median,hdi,omits 0
Mv,2019,fungicide,Ev adult,0.0466165196461453,-0.7603176855006383,0.8907175878741281,0.95,median,hdi,includes 0
Mv,2019,fungicide,Ev seedling,0.5248807095678918,-0.6073493306416075,1.651927946488474,0.95,median,hdi,includes 0
Mv,2019,fungicide,Mv,0.061813207139599556,-1.4112987037106726,1.3735321519065566,0.95,median,hdi,includes 0
Mv,2019,control (water),Ev adult,-0.044071354116070965,-1.6454138153450961,1.4498242296472446,0.95,median,hdi,includes 0
Mv,2019,control (water),Ev seedling,-0.1513769918972372,-1.1582201600240691,0.8487350626189325,0.95,median,hdi,includes 0
Mv,2019,control (water),Mv,-0.20189033824919364,-0.8403902729633435,0.4756556120029332,0.95,median,hdi,includes 0
