Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star,Weeks,Treatment
(inv_logit_scaled(Intercept+plant_typesurrounding)*100)-(inv_logit_scaled(Intercept)*100) = 0,-1.3013981006727393,0.9707872332984062,-3.2908388106853756,0.553358055801124,NA,NA,,4,control
(inv_logit_scaled(Intercept+plant_typesurrounding+treatmentfungicide+plant_typesurrounding:treatmentfungicide)*100)-(inv_logit_scaled(Intercept+treatmentfungicide)*100) = 0,0.30172867447137053,0.9001435033489136,-1.452096282316297,2.079532589041919,NA,NA,,4,fungicide
(inv_logit_scaled(Intercept+plant_typesurrounding+monthjul+plant_typesurrounding:monthjul)*100)-(inv_logit_scaled(Intercept+monthjul)*100) = 0,-0.039767554752742094,0.9360443402016828,-1.8685255548011368,1.8423623020019355,NA,NA,,8,control
(inv_logit_scaled(Intercept+plant_typesurrounding+treatmentfungicide+monthjul+plant_typesurrounding:treatmentfungicide+plant_typesurrounding:monthjul+treatmentfungicide:monthjul+plant_typesurrounding:treatmentfungicide:monthjul)*100)-(inv_logit_scaled(Intercept+treatmentfungicide+monthjul+treatmentfungicide:monthjul)*100) = 0,0.4633914409898367,0.9372177823962112,-1.3398242445090907,2.3552424504037504,NA,NA,,8,fungicide
(inv_logit_scaled(Intercept+plant_typesurrounding+monthearly_aug+plant_typesurrounding:monthearly_aug)*100)-(inv_logit_scaled(Intercept+monthearly_aug)*100) = 0,-2.7998073646169113,1.4840971838964225,-5.773948725890506,0.04243154030137514,NA,NA,,12,control
(inv_logit_scaled(Intercept+plant_typesurrounding+treatmentfungicide+monthearly_aug+plant_typesurrounding:treatmentfungicide+plant_typesurrounding:monthearly_aug+treatmentfungicide:monthearly_aug+plant_typesurrounding:treatmentfungicide:monthearly_aug)*100)-(inv_logit_scaled(Intercept+treatmentfungicide+monthearly_aug+treatmentfungicide:monthearly_aug)*100) = 0,0.6347450279719444,1.1671604162144198,-1.6225862052716398,3.002842525384529,NA,NA,,12,fungicide
(inv_logit_scaled(Intercept+plant_typesurrounding+monthlate_aug+plant_typesurrounding:monthlate_aug)*100)-(inv_logit_scaled(Intercept+monthlate_aug)*100) = 0,14.474722315840737,3.9174253692830656,6.7284738091525025,22.03261494129017,NA,NA,*,16,control
(inv_logit_scaled(Intercept+plant_typesurrounding+treatmentfungicide+monthlate_aug+plant_typesurrounding:treatmentfungicide+plant_typesurrounding:monthlate_aug+treatmentfungicide:monthlate_aug+plant_typesurrounding:treatmentfungicide:monthlate_aug)*100)-(inv_logit_scaled(Intercept+treatmentfungicide+monthlate_aug+treatmentfungicide:monthlate_aug)*100) = 0,25.96008931882455,3.7265090409040535,18.575265021135046,33.19884262603162,NA,NA,*,16,fungicide
