time,species,N,alpha_PA
43,Perennial first-year infected biomass,4.756848752092259,4.832928653524197e-4
44,Perennial first-year infected biomass,4.756848741298526,4.832928653524197e-4
45,Perennial first-year infected biomass,4.756848746203187,4.832928653524197e-4
46,Perennial first-year infected biomass,4.756848746568739,4.832928653524197e-4
47,Perennial first-year infected biomass,4.756848746629299,4.832928653524197e-4
48,Perennial first-year infected biomass,4.756861147663704,4.832928653524197e-4
49,Perennial first-year infected biomass,4.756848145038651,4.832928653524197e-4
50,Perennial first-year infected biomass,4.7568491819992476,4.832928653524197e-4
1,Perennial adult infected biomass,86.90600431813456,4.832928653524197e-4
2,Perennial adult infected biomass,77.49504644012754,4.832928653524197e-4
3,Perennial adult infected biomass,77.06433987204112,4.832928653524197e-4
4,Perennial adult infected biomass,77.05733814303848,4.832928653524197e-4
5,Perennial adult infected biomass,77.13376341174062,4.832928653524197e-4
6,Perennial adult infected biomass,77.17398097464185,4.832928653524197e-4
7,Perennial adult infected biomass,77.19106475765984,4.832928653524197e-4
8,Perennial adult infected biomass,77.19767051057309,4.832928653524197e-4
9,Perennial adult infected biomass,77.20026228357582,4.832928653524197e-4
10,Perennial adult infected biomass,77.20126896076762,4.832928653524197e-4
11,Perennial adult infected biomass,77.20165316890194,4.832928653524197e-4
12,Perennial adult infected biomass,77.20180424413059,4.832928653524197e-4
13,Perennial adult infected biomass,77.20186162050882,4.832928653524197e-4
14,Perennial adult infected biomass,77.20188358083804,4.832928653524197e-4
15,Perennial adult infected biomass,77.20189200679836,4.832928653524197e-4
16,Perennial adult infected biomass,77.20189524196793,4.832928653524197e-4
17,Perennial adult infected biomass,77.20189068124643,4.832928653524197e-4
18,Perennial adult infected biomass,77.20189511473617,4.832928653524197e-4
19,Perennial adult infected biomass,77.20189695587881,4.832928653524197e-4
20,Perennial adult infected biomass,77.20189720015007,4.832928653524197e-4
21,Perennial adult infected biomass,77.20189724334965,4.832928653524197e-4
22,Perennial adult infected biomass,77.20189725354807,4.832928653524197e-4
23,Perennial adult infected biomass,77.20189606529574,4.832928653524197e-4
24,Perennial adult infected biomass,77.20189498307077,4.832928653524197e-4
25,Perennial adult infected biomass,77.20189708587182,4.832928653524197e-4
26,Perennial adult infected biomass,77.20189725289812,4.832928653524197e-4
27,Perennial adult infected biomass,77.20189726282491,4.832928653524197e-4
28,Perennial adult infected biomass,77.20189726153284,4.832928653524197e-4
29,Perennial adult infected biomass,77.2018972599187,4.832928653524197e-4
30,Perennial adult infected biomass,77.20189725944095,4.832928653524197e-4
31,Perennial adult infected biomass,77.20189725880367,4.832928653524197e-4
32,Perennial adult infected biomass,77.20206419436401,4.832928653524197e-4
33,Perennial adult infected biomass,77.20191876562636,4.832928653524197e-4
34,Perennial adult infected biomass,77.2018983433197,4.832928653524197e-4
35,Perennial adult infected biomass,77.20194019306646,4.832928653524197e-4
36,Perennial adult infected biomass,77.20208110605367,4.832928653524197e-4
37,Perennial adult infected biomass,77.20191963047095,4.832928653524197e-4
38,Perennial adult infected biomass,77.2018996157755,4.832928653524197e-4
39,Perennial adult infected biomass,77.20189746991102,4.832928653524197e-4
40,Perennial adult infected biomass,77.20189509143606,4.832928653524197e-4
41,Perennial adult infected biomass,77.20189707617675,4.832928653524197e-4
42,Perennial adult infected biomass,77.20189509369001,4.832928653524197e-4
43,Perennial adult infected biomass,77.20189709618724,4.832928653524197e-4
44,Perennial adult infected biomass,77.20189725352229,4.832928653524197e-4
45,Perennial adult infected biomass,77.20189726289182,4.832928653524197e-4
46,Perennial adult infected biomass,77.20189726132463,4.832928653524197e-4
47,Perennial adult infected biomass,77.20189726024762,4.832928653524197e-4
48,Perennial adult infected biomass,77.20208090045706,4.832928653524197e-4
49,Perennial adult infected biomass,77.20191649233232,4.832928653524197e-4
50,Perennial adult infected biomass,77.2018992893019,4.832928653524197e-4
1,Conidia,5500,4.832928653524197e-4
2,Conidia,19096.392336253273,4.832928653524197e-4
3,Conidia,18834.235544038576,4.832928653524197e-4
4,Conidia,18793.52246879187,4.832928653524197e-4
5,Conidia,18798.634840372924,4.832928653524197e-4
6,Conidia,18803.55761015557,4.832928653524197e-4
7,Conidia,18805.86592870739,4.832928653524197e-4
8,Conidia,18806.81753692371,4.832928653524197e-4
9,Conidia,18807.18127450251,4.832928653524197e-4
10,Conidia,18807.323924114353,4.832928653524197e-4
11,Conidia,18807.37941795666,4.832928653524197e-4
12,Conidia,18807.400339860822,4.832928653524197e-4
13,Conidia,18807.408809142955,4.832928653524197e-4
14,Conidia,18807.411953455194,4.832928653524197e-4
15,Conidia,18807.413158336683,4.832928653524197e-4
16,Conidia,18807.41362078205,4.832928653524197e-4
17,Conidia,18807.413798335387,4.832928653524197e-4
18,Conidia,18807.413241585582,4.832928653524197e-4
19,Conidia,18807.413701512425,4.832928653524197e-4
20,Conidia,18807.413895952657,4.832928653524197e-4
21,Conidia,18807.41390628466,4.832928653524197e-4
22,Conidia,18807.4139082609,4.832928653524197e-4
23,Conidia,18807.413908796392,4.832928653524197e-4
24,Conidia,18807.4137410842,4.832928653524197e-4
25,Conidia,18807.41330469421,4.832928653524197e-4
26,Conidia,18807.413900954838,4.832928653524197e-4
27,Conidia,18807.413909065057,4.832928653524197e-4
28,Conidia,18807.413909336607,4.832928653524197e-4
29,Conidia,18807.41390918584,4.832928653524197e-4
30,Conidia,18807.4139091088,4.832928653524197e-4
31,Conidia,18807.413909061754,4.832928653524197e-4
32,Conidia,18807.413909063216,4.832928653524197e-4
33,Conidia,18807.42444858625,4.832928653524197e-4
34,Conidia,18807.414633399276,4.832928653524197e-4
35,Conidia,18807.413822649618,4.832928653524197e-4
36,Conidia,18807.41717077189,4.832928653524197e-4
37,Conidia,18807.424816592255,4.832928653524197e-4
38,Conidia,18807.414663073825,4.832928653524197e-4
39,Conidia,18807.41399301265,4.832928653524197e-4
40,Conidia,18807.41391387043,4.832928653524197e-4
41,Conidia,18807.413307413804,4.832928653524197e-4
