response,variable,value,.lower,.upper
tiller growth,EvA_fung_eff,-73.61786205045766,-484.68745748964994,360.3408779310371
tiller growth,EvS_fung_eff,-63.49212441186222,-245.88424302308331,246.03776450169624
tiller growth,Mv_fung_eff,-137.06432206282602,-463.30540486269064,56.39396395374216
seeds,EvA_fung_eff,-79.31330534272718,-548.5190185315699,367.50569193938315
seeds,EvS_fung_eff,-78.89523344879126,-168.27753920525765,62.24794796744847
seeds,Mv_fung_eff,-90.02629324386332,-1297.8325587139389,1190.9656899684148
