time,species,N,alpha_PP
1,Annual,44987.520550040725,2.63356721948172e-4
2,Annual,38404.38594417413,2.63356721948172e-4
3,Annual,38249.01031207261,2.63356721948172e-4
4,Annual,38142.51703727453,2.63356721948172e-4
5,Annual,38087.09032780097,2.63356721948172e-4
6,Annual,38065.29463878929,2.63356721948172e-4
7,Annual,38058.04092588318,2.63356721948172e-4
8,Annual,38055.95480441572,2.63356721948172e-4
9,Annual,38055.45062257851,2.63356721948172e-4
10,Annual,38055.36181044536,2.63356721948172e-4
11,Annual,38055.359656749824,2.63356721948172e-4
12,Annual,38055.367153278305,2.63356721948172e-4
13,Annual,38055.37174130227,2.63356721948172e-4
14,Annual,38055.37367948879,2.63356721948172e-4
15,Annual,38055.37435919943,2.63356721948172e-4
16,Annual,38055.3745644806,2.63356721948172e-4
17,Annual,38055.374616699984,2.63356721948172e-4
18,Annual,38055.37462798843,2.63356721948172e-4
19,Annual,38055.3746289833,2.63356721948172e-4
20,Annual,38055.37462861758,2.63356721948172e-4
21,Annual,38055.37462780618,2.63356721948172e-4
22,Annual,38055.37462747491,2.63356721948172e-4
23,Annual,38055.37462770552,2.63356721948172e-4
24,Annual,38055.37462747916,2.63356721948172e-4
25,Annual,38055.37462769224,2.63356721948172e-4
26,Annual,38055.3746278657,2.63356721948172e-4
27,Annual,38055.374627422854,2.63356721948172e-4
28,Annual,38055.37462750245,2.63356721948172e-4
29,Annual,38055.37462756234,2.63356721948172e-4
30,Annual,38055.37462762454,2.63356721948172e-4
31,Annual,38055.37462735248,2.63356721948172e-4
32,Annual,38055.374627346464,2.63356721948172e-4
33,Annual,38055.37462773611,2.63356721948172e-4
34,Annual,38055.37462735924,2.63356721948172e-4
35,Annual,38055.374627518744,2.63356721948172e-4
36,Annual,38055.37462756404,2.63356721948172e-4
37,Annual,38055.37462788297,2.63356721948172e-4
38,Annual,38055.37462791282,2.63356721948172e-4
39,Annual,38055.374627461046,2.63356721948172e-4
40,Annual,38055.37462790254,2.63356721948172e-4
41,Annual,38055.3746275012,2.63356721948172e-4
42,Annual,38055.37462738888,2.63356721948172e-4
43,Annual,38055.37462769494,2.63356721948172e-4
44,Annual,38055.37462731858,2.63356721948172e-4
45,Annual,38055.37462771009,2.63356721948172e-4
46,Annual,38055.374627989106,2.63356721948172e-4
47,Annual,38055.37462739098,2.63356721948172e-4
48,Annual,38055.37462760771,2.63356721948172e-4
49,Annual,38055.37462787679,2.63356721948172e-4
50,Annual,38055.37462761835,2.63356721948172e-4
1,Perennial first-year,14325.761300285672,2.63356721948172e-4
2,Perennial first-year,28900.473656763854,2.63356721948172e-4
3,Perennial first-year,37983.297549360526,2.63356721948172e-4
4,Perennial first-year,39791.408005387595,2.63356721948172e-4
5,Perennial first-year,39809.58580317318,2.63356721948172e-4
6,Perennial first-year,39647.610371963754,2.63356721948172e-4
7,Perennial first-year,39552.47234046733,2.63356721948172e-4
8,Perennial first-year,39512.884492189885,2.63356721948172e-4
9,Perennial first-year,39499.12827662023,2.63356721948172e-4
10,Perennial first-year,39494.996575328594,2.63356721948172e-4
11,Perennial first-year,39493.94051303499,2.63356721948172e-4
12,Perennial first-year,39493.73137451154,2.63356721948172e-4
13,Perennial first-year,39493.713410979595,2.63356721948172e-4
14,Perennial first-year,39493.72354127257,2.63356721948172e-4
15,Perennial first-year,39493.73122637331,2.63356721948172e-4
16,Perennial first-year,39493.73471264279,2.63356721948172e-4
17,Perennial first-year,39493.735987670174,2.63356721948172e-4
18,Perennial first-year,39493.73639122091,2.63356721948172e-4
19,Perennial first-year,39493.736500289364,2.63356721948172e-4
20,Perennial first-year,39493.73652439677,2.63356721948172e-4
21,Perennial first-year,39493.73652649057,2.63356721948172e-4
22,Perennial first-year,39493.736525216584,2.63356721948172e-4
23,Perennial first-year,39493.736525369524,2.63356721948172e-4
24,Perennial first-year,39493.73652461634,2.63356721948172e-4
25,Perennial first-year,39493.736525063985,2.63356721948172e-4
26,Perennial first-year,39493.73652560171,2.63356721948172e-4
27,Perennial first-year,39493.736524429965,2.63356721948172e-4
28,Perennial first-year,39493.73652443479,2.63356721948172e-4
29,Perennial first-year,39493.736524651504,2.63356721948172e-4
30,Perennial first-year,39493.7365248954,2.63356721948172e-4
31,Perennial first-year,39493.73652402176,2.63356721948172e-4
32,Perennial first-year,39493.736523774394,2.63356721948172e-4
33,Perennial first-year,39493.73652500521,2.63356721948172e-4
34,Perennial first-year,39493.736524075306,2.63356721948172e-4
35,Perennial first-year,39493.736524419415,2.63356721948172e-4
36,Perennial first-year,39493.73652464955,2.63356721948172e-4
37,Perennial first-year,39493.73652556595,2.63356721948172e-4
38,Perennial first-year,39493.73652582396,2.63356721948172e-4
39,Perennial first-year,39493.736524612585,2.63356721948172e-4
40,Perennial first-year,39493.73652557432,2.63356721948172e-4
41,Perennial first-year,39493.736524692686,2.63356721948172e-4
42,Perennial first-year,39493.73652408664,2.63356721948172e-4
43,Perennial first-year,39493.73652492102,2.63356721948172e-4
44,Perennial first-year,39493.736523876396,2.63356721948172e-4
45,Perennial first-year,39493.73652493379,2.63356721948172e-4
46,Perennial first-year,39493.73652587235,2.63356721948172e-4
47,Perennial first-year,39493.73652435456,2.63356721948172e-4
48,Perennial first-year,39493.73652473602,2.63356721948172e-4
49,Perennial first-year,39493.73652555553,2.63356721948172e-4
50,Perennial first-year,39493.736525054424,2.63356721948172e-4
1,Perennial adult,28043.97422499138,2.63356721948172e-4
2,Perennial adult,27720.473039275654,2.63356721948172e-4
3,Perennial adult,28221.196462304568,2.63356721948172e-4
4,Perennial adult,28925.911156269576,2.63356721948172e-4
5,Perennial adult,29528.35486167514,2.63356721948172e-4
6,Perennial adult,30039.080836790778,2.63356721948172e-4
