plant_group,fungicide,trend,lower.HPD,upper.HPD,source,weeks,treatment,sig
Invader (Mv),0,0.0010198667367140653,-1.1451412841929649e-4,0.002202660354413723,Surrounding invader,16,control,no
1st yr comp. (Ev),0,-0.0014180594144343152,-0.00510388991949885,0.001950357280770122,Surrounding invader,16,control,no
Adult comp. (Ev),0,-0.00295824345120437,-0.0063086523568982285,2.67710066465803e-4,Surrounding invader,16,control,no
Invader (Mv),1,-2.3845233885620357e-4,-0.0012161985709429196,6.791214351009349e-4,Surrounding invader,16,fungicide,no
1st yr comp. (Ev),1,-0.0038523807493809196,-0.008006960345092934,8.748633685315643e-5,Surrounding invader,16,fungicide,no
Adult comp. (Ev),1,-0.0010458359840861168,-0.003933585995476735,0.0018039078608362404,Surrounding invader,16,fungicide,no
Invader (Mv),0,0.04094710124561166,0.009176988810157776,0.07298765839745631,Invader (Mv),20,control,yes
1st yr comp. (Ev),0,-0.01610769188203511,-0.09125903268053047,0.06001392084137067,Invader (Mv),20,control,no
Adult comp. (Ev),0,6.999666065941282e-5,-0.02756344245446147,0.02500750332400502,Invader (Mv),20,control,no
Invader (Mv),1,0.01889625662939977,-0.024250024308137552,0.06825220851564187,Invader (Mv),20,fungicide,no
1st yr comp. (Ev),1,0.02253995290187272,-0.044593074618745954,0.09306766178455904,Invader (Mv),20,fungicide,no
Adult comp. (Ev),1,0.009567110391176874,-0.07733975702314703,0.10335635075448055,Invader (Mv),20,fungicide,no
Invader (Mv),0,0.011739631607398543,-0.010138857362782397,0.03384290128977116,1st yr comp. (Ev),20,control,no
1st yr comp. (Ev),0,-0.0033223817687698795,-0.01868469211240854,0.010604994755558029,1st yr comp. (Ev),20,control,no
Adult comp. (Ev),0,-0.0252524177151628,-0.061779973032751304,0.008019458557243892,1st yr comp. (Ev),20,control,no
Invader (Mv),1,1.810143018054049e-4,-0.02109706383402468,0.022370635708745604,1st yr comp. (Ev),20,fungicide,no
1st yr comp. (Ev),1,-0.005874963016799275,-0.027813440320251785,0.015902792447580978,1st yr comp. (Ev),20,fungicide,no
Adult comp. (Ev),1,-0.002914939719965453,-0.06876109822178968,0.09691960839714955,1st yr comp. (Ev),20,fungicide,no
Invader (Mv),0,0.010205716233778998,-0.025221171321903886,0.04227902752070671,Adult comp. (Ev),20,control,no
1st yr comp. (Ev),0,-0.024069372238594004,-0.08637252017526995,0.04025692950540956,Adult comp. (Ev),20,control,no
Adult comp. (Ev),0,-0.0036105098142665605,-0.09758421997363095,0.10589578995440774,Adult comp. (Ev),20,control,no
Invader (Mv),1,0.0061412228391879405,-0.02211601210622648,0.03475558509087062,Adult comp. (Ev),20,fungicide,no
1st yr comp. (Ev),1,0.0067345216357854055,-0.08208666067540339,0.11024831153654865,Adult comp. (Ev),20,fungicide,no
Adult comp. (Ev),1,0.007245793886281547,-0.12564584599376846,0.18179801424664824,Adult comp. (Ev),20,fungicide,no
Invader (Mv),0,0.0020614003314472244,-0.03991827348142458,0.04081726243595034,Invader (Mv),16,control,no
1st yr comp. (Ev),0,0.014475304173562579,-0.08311434274127619,0.10956580311957984,Invader (Mv),16,control,no
Adult comp. (Ev),0,0.03248144575981159,-0.05171502465438675,0.11315882948710677,Invader (Mv),16,control,no
Invader (Mv),1,0.006490031505279551,-0.02527529742666709,0.03821781726379129,Invader (Mv),16,fungicide,no
1st yr comp. (Ev),1,-0.0035931770783040862,-0.13593639867822163,0.1231609054183253,Invader (Mv),16,fungicide,no
Adult comp. (Ev),1,0.07266969839582346,-0.018879619353040753,0.1716432896788846,Invader (Mv),16,fungicide,no
Invader (Mv),0,0.003950617968818977,-0.005992897480199865,0.013613918609346723,1st yr comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.06746321959045556,-0.011823589047333194,0.15021234608726805,1st yr comp. (Ev),16,control,no
Adult comp. (Ev),0,0.00408236606733385,-0.019496838855163658,0.028765326638234816,1st yr comp. (Ev),16,control,no
Invader (Mv),1,2.6119696841911015e-4,-0.008107689651484415,0.008239367705998505,1st yr comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.05382455706546398,-0.014232978565034464,0.12437885117249035,1st yr comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,0.006086512454420116,-0.010558616150125459,0.02244800033470918,1st yr comp. (Ev),16,fungicide,no
Invader (Mv),0,0.002655224172653288,-0.012544022057622964,0.01594359310133169,Adult comp. (Ev),16,control,no
1st yr comp. (Ev),0,0.052048373125825984,-0.012694984934778468,0.11484272691797798,Adult comp. (Ev),16,control,no
Adult comp. (Ev),0,-0.00827010341561475,-0.053319504209254666,0.03169600241998611,Adult comp. (Ev),16,control,no
Invader (Mv),1,-0.004589115649096619,-0.02258387140433871,0.012027244408492212,Adult comp. (Ev),16,fungicide,no
1st yr comp. (Ev),1,0.04047215685739409,-0.11742728753976814,0.19396901182977155,Adult comp. (Ev),16,fungicide,no
Adult comp. (Ev),1,-0.020228363728920888,-0.10122281380747411,0.06331744948819769,Adult comp. (Ev),16,fungicide,no
