Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(-bg_les_s:focs) = 0,-0.16941520061260784,0.36493086691081217,-0.8912390344667975,0.5364662776109023,NA,NA,
(-bg_les_s:focs-bg_les_s:focs:fungicide) = 0,-0.023819644055461782,0.7239752378004803,-1.4503210373242477,1.4049992002623937,NA,NA,
(-bg_les_s:foca) = 0,-0.20642579511613393,0.3896253923929799,-0.9800378565303631,0.5521901830028649,NA,NA,
(-bg_les_s:foca-bg_les_s:foca:fungicide) = 0,0.04502894548832823,0.7182298261727266,-1.3699452337239466,1.440220039571797,NA,NA,
(bg_les_s:focs+bg_les_s:focs:bgs) = 0,-0.25223705434572236,0.5030976016076427,-1.2435049575871508,0.7454798182804546,NA,NA,
(bg_les_s:focs+bg_les_s:focs:bgs+bg_les_s:focs:fungicide+bg_les_s:focs:bgs:fungicide) = 0,-0.6322811087849545,0.5634962280726771,-1.7426078379968533,0.4661560030100753,NA,NA,
(bg_les_s:focs+bg_les_s:focs:bgs)-(bg_les_s:foca+bg_les_s:foca:bgs) = 0,-0.3375273652636588,0.7764178649375966,-1.8840242547094148,1.1661397860112157,NA,NA,
(bg_les_s:focs+bg_les_s:focs:bgs+bg_les_s:focs:fungicide+bg_les_s:focs:bgs:fungicide)-(bg_les_s:foca+bg_les_s:foca:bgs+bg_les_s:foca:fungicide+bg_les_s:foca:bgs:fungicide) = 0,-0.09343129647895615,0.5686223819485052,-1.2220447917362032,1.0202027134196459,NA,NA,
(bg_les_s:foca+bg_les_s:foca:bga) = 0,-0.5131428492800256,0.72975358691593,-1.949011771898064,0.9188433428370006,NA,NA,
(bg_les_s:foca+bg_les_s:foca:bga+bg_les_s:foca:fungicide+bg_les_s:foca:bga:fungicide) = 0,-0.6743035407679445,0.43292726801315884,-1.5185009159803988,0.17372915182373985,NA,NA,
(bg_les_s:foca+bg_les_s:foca:bga)-(bg_les_s:focs+bg_les_s:focs:bga) = 0,-0.5965375387351284,0.9458264457559268,-2.4665290207845905,1.2756545022054997,NA,NA,
(bg_les_s:foca+bg_les_s:foca:bga+bg_les_s:foca:fungicide+bg_les_s:foca:bga:fungicide)-(bg_les_s:focs+bg_les_s:focs:bga+bg_les_s:focs:fungicide+bg_les_s:focs:bga:fungicide) = 0,-0.6143035004578165,0.4768358085506918,-1.559019443258,0.32118390907208166,NA,NA,
