effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,b0_treatmentcontrol,5.421838608497476,2.16998505886555,1.915261124538442,10.312907320904772
fixed,cond,NA,b0_treatmentfungicide,4.77350357828226,1.9876382375957364,1.6673424344671885,9.343803478193188
fixed,cond,NA,alpha_treatmentcontrol,0.02529910723316613,0.05693012010808402,6.961488568790165e-4,0.09728573633838934
fixed,cond,NA,alpha_treatmentfungicide,0.025379595815065787,0.0723363760934926,4.181953674766956e-4,0.11420287548926056
ran_pars,cond,site,sd__b0_(Intercept),29.122116465985197,18.850043909745466,11.136787527214834,76.6401220505312
ran_pars,cond,Residual,sd__Observation,100.16024541652303,15.906137555152133,75.25082748330286,137.3108425016946
