year,month,focal,Estimate,Est.Error,CI.Lower,CI.Upper,Star
2018,July,Mv,-0.047678580859549576,0.6099115501109267,-1.2530387723846186,1.1365512992689968,
2018,July,Ev first-year,-0.10323684888754892,0.3592605755006589,-0.8001510981662218,0.5915767350147456,
2018,July,Ev adult,0.45041732050244965,0.5416716228593736,-0.6093156104089152,1.5143130788444892,
2019,July,Mv,-0.010980996575774605,0.6625101207506716,-1.2909076476148162,1.3003460942022018,
2019,July,Ev first-year,-1.462053790889246,0.514520236299937,-2.4684570857364285,-0.4384553708820287,*
2019,July,Ev adult,1.3907825774868665,0.7104542983196416,-0.01855157821270611,2.787759021176795,
2019,early August,Mv,0.7853173954568595,0.38801860878469396,0.02436692536334581,1.5594786150643223,*
2019,early August,Ev first-year,0.30696088156700424,0.4110648096860461,-0.5038053025742343,1.1141272386965135,
2019,early August,Ev adult,1.501465506075425,0.3807257464137475,0.7443430331172904,2.240482948460272,*
2019,late August,Mv,0.5931538420104371,0.2243293273074035,0.14908283396923194,1.029590387380795,*
2019,late August,Ev first-year,0.6300807120632321,0.2502175588952147,0.1456493945743801,1.1194268961050473,*
2019,late August,Ev adult,0.2309844137981086,0.2896687418607975,-0.3366573092990686,0.7943811840692924,
