Covariate,Estimate,Est.Error,l-95% CI,u-95% CI
Intercept,-1.23,0.17,-1.58,-0.91
plant_typeEv_seedling,-0.21,0.22,-0.63,0.22
plant_typeMv_seedling,0.07,0.21,-0.35,0.49
fungicide,-0.17,0.24,-0.64,0.29
plant_typeEv_seedling:fungicide,-0.12,0.31,-0.74,0.49
plant_typeMv_seedling:fungicide,-0.51,0.31,-1.12,0.10
