effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),4.839583008949825,0.944220556001703,3.309559740190204,6.974066761601101
fixed,cond,NA,fungicide,5.369833954016877,3.571834481322037,0.04631210812451182,13.612424337614936
fixed,cond,NA,foca,-1.8062438528998896,1.0511249621353829,-3.969170251426089,0.1736405203698103
fixed,cond,NA,focs,-1.8934015644417492,0.8997504345508162,-3.863508553965178,-0.3412396280120803
fixed,cond,NA,fungicide:foca,-5.311882172685658,3.647784749291481,-13.724904075346185,0.32554360534971016
fixed,cond,NA,fungicide:focs,-2.467154285535634,3.740818948959539,-10.920915263110462,3.5954807332906893
ran_pars,cond,plotf,sd__(Intercept),0.915017233566046,0.5708169718458829,0.049843150777770656,2.1920718324249817
