iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
13,without disease,E. virginicus,0.1660670547526739,0.21974171710284807,0.21847865949346884,0.21992189311162416,0.9535264023253077,15.113306282738955,10.486038895442793,275.1733307607136,0.4332416389637172,4.795025634797586,0.728714936789944,0.039886714028944455,207.73481663369407,4.411622342732989,5016.487918975247,212.19310755265178,0.00148734836725352,3.864142873435603e-6,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,13,1,4.358631808810211e-19,212.19310738519403,Resident: E. virginicus
14,without disease,E. virginicus,0.008847945004295022,0.035541233516449354,0.2145306091830621,0.21999601003821834,0.9639474559937936,14.235198315391887,3.8578735951251577,6.2899289838752175,0.007599425168599002,8.578933467221777,0.7501868664113365,0.11296446587445717,479.6766763365369,2823.1404117998554,6265.688847907455,10491.819088049286,0.002215666957692807,4.946597981129025e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,14,0,1,10491.819088049266,Resident: E. virginicus
15,without disease,E. virginicus,0.19698644493547274,0.21323844674190084,0.20814916513353163,0.21997171124945097,0.9505517831632296,11.11251233947331,10.472088286588498,699.8359546270918,5.695624542103673,7.459075250348948,0.7700775838508974,0.02098028843294251,226.37345219104873,1.827901880278796,4984.835344280355,47.9125967518587,0.0011827256232874617,6.590380267995798e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,15,1,2.0542416858572292e-24,47.912594714425936,Resident: E. virginicus
16,without disease,E. virginicus,8.000500067464139e-4,0.047523775735864325,0.21966363427885147,0.21905400682789986,0.9316521696289376,18.994856816564468,4.271931000891478,0.21579221304221374,3.272621464390942e-4,6.051831541344993,0.7557039157493752,0.22847138629874908,57.25371839042126,7097.162961237105,1266.088839614953,38513.584399763386,0.007103010136498275,9.37164427161076e-5,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,16,0,1,38513.58439976336,Resident: E. virginicus
17,without disease,E. virginicus,0.15830351013902003,0.0792285785309637,0.21802350662924588,0.21994258436461295,0.9895980460018082,13.713520185307662,5.720256550710164,5.083191310212533,0.023046364089531046,4.738276365612784,0.7998315200403456,0.026332564109792133,162.7847060016669,494.1088960529562,15786.969573875265,6147.500156600416,6.136806096443427e-5,2.8891403182683477e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: E. virginicus,17,8.774412827190356e-159,1,6147.334247718743,Resident: E. virginicus
18,without disease,E. virginicus,0.20162273106123288,0.10957662434401896,0.20922518661624884,0.21998685353216765,0.9374741957357906,12.289092939553953,2.6939875428937228,9.948051150088508,0.8901058035625641,4.609944380718498,0.7631903758681251,0.11177348971517069,121.37929760166134,147.5961801133568,14174.168879905874,1148.6968613338631,3.282531953066236e-5,8.771744226626203e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,18,1,1.5315589389746437e-23,1148.6968613338624,Resident: E. virginicus
19,without disease,E. virginicus,0.07179789657745325,0.056835936604975684,0.21932736577275713,0.21973965615846658,0.98380317869723,13.842542608857123,2.6844839259114477,1.3352144949467901,0.026800557633035196,0.5890658061931985,0.7818461279206301,0.4707394582882851,254.8467987013843,4162.209664053862,16626.281288165294,17468.72614084342,1.1762667808667866e-4,1.6407663965113876e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: E. virginicus,19,0,1,17468.72574192776,Resident: E. virginicus
20,without disease,E. virginicus,0.08085029219888336,0.2010871409607408,0.2194253944270692,0.21997845531175758,0.9663501040897076,12.975572014879923,1.0286365305040006,10.62893071546764,0.018015753792445834,1.9023497345344496,0.8061130177082063,0.08384603800806302,320.0755077442613,180.74186236222812,5493.008010823579,1010.9721722758877,0.0016953696822084709,9.292630612559167e-5,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,20,1.5348892616206086e-131,1,1010.9721718243011,Resident: E. virginicus
21,without disease,E. virginicus,0.01251836889053349,0.016577723909815854,0.21959217524554908,0.21888563266338457,0.99,14.430231185427917,5.046341751146827,0.8798065682473827,9.380538208982242e-4,5.4700745607773,0.7838924336042752,0.10534270853849217,433.66648044867264,36582.90251267906,18749.425094192477,84889.84079008785,1.9486042548603615e-4,1.4375871541833597e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,21,0,1,84889.4607778464,Resident: E. virginicus
22,without disease,E. virginicus,0.0014033670963567192,0.11822237516741678,0.21998888335782385,0.2197225739253668,0.8939205644034168,14.878621120504784,3.416008027710904,2.427301136904403,6.793101526848924e-4,14.803042696941427,0.7764602486052143,0.05775494675171929,132.0300919624128,571.9926637098697,912.3589578161032,6002.548931340798,0.025948626978250365,1.4303143746170608e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,22,0,1,6002.548931340796,Resident: E. virginicus
