Response,Predictor,Estimate,Est.Error,Q2.5,Q97.5,N,SD
prop. infected (dark),fungicide,-0.869982963020114,0.18766280090523213,-1.244321227449894,-0.5066202887383863,184,0.6399183802346226
prop. infected (light),fungicide,0.18439159778138212,0.13292289679985142,-0.07463440111549102,0.4407049294990114,184,0.5091426496943934
prop. infected (dark),sep_severity,2.5474798099241434,0.6802268460411851,1.2194905038908939,3.8852295470320644,177,0.6689175954851767
prop. infected (light),sep_severity,-0.43224020815608344,0.4997850244801536,-1.4017392979596526,0.5424764530980221,177,0.5215094129575263
prop. germinated,prop_dark,-1.9860282577592336,0.3582584639726403,-2.683629465554707,-1.2754858684022672,184,0.5128547547504445
prop. germinated,prop_light,0.7910278038756142,0.2521002273790395,0.2969040303447324,1.2864309463909798,184,0.5128547547504445
