foc,env_var,treatment,Estimate,Est.Error,CI.Lower,CI.Upper,Hypothesis,Evid.Ratio,Post.Prob,Star
Mv,dew intensity,control (water),0.2878050995885146,0.24257644676352835,-0.18182981815688512,0.7670494900047614,NA,NA,NA,NA
Ev first-year,dew intensity,control (water),-0.049578684772065146,0.25756819282274707,-0.5575004735252848,0.45916309692926677,NA,NA,NA,NA
Ev adult,dew intensity,control (water),0.695930694510389,0.32051899198852807,0.06369250684078427,1.3268309604435737,NA,NA,NA,NA
Ev adult without highest value,dew intensity,control (water),-0.01335708744244301,0.06371780293778065,-0.13825200032544233,0.11278484096258529,(dew_c+foca:dew_c) = 0,NA,NA,
