site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf,sp,age,jul_severity,late_aug_severity,sep_severity
D4 9F,0,30,22,7,6,1,0.7333333333333333,0.23333333333333334,0.2,D4,9,fungicide,1,D49f,Mv,seedling,6.855017342264333e-4,0.01283864781965277,0.03073143324367555
P1 10W,0,30,27,4,11,1,0.9,0.13333333333333333,0.36666666666666664,D1,10,control,0,D110c,Mv,seedling,0.02440635599117836,0.0519596037486857,0.12204073659885609
D1 5F,0,30,26,0,9,1,0.8666666666666667,0,0.3,D1,5,fungicide,1,D15f,Mv,seedling,0.00389029701340421,0.00454265060621286,0.00395825586307558
D1 6W,0,29,23,2,4,1,0.7931034482758621,0.06896551724137931,0.13793103448275862,D1,6,control,0,D16c,Mv,seedling,0.00305888721937121,0.05568569222652349,0.14850818472865718
D1 7F,0,29,28,1,28,1,0.9655172413793104,0.034482758620689655,0.9655172413793104,D1,7,fungicide,1,D17f,Mv,seedling,0.00289355565129446,7.426539185600485e-4,0.02195406047616829
D1 8F,0,30,29,1,12,1,0.9666666666666667,0.03333333333333333,0.4,D1,8,fungicide,1,D18f,Mv,seedling,0.01509051924185291,0.00661424080866636,0.00776215126322985
D1 9F,0,30,27,0,23,1,0.9,0,0.7666666666666667,D1,9,fungicide,1,D19f,Mv,seedling,0.00929219290969618,0.01328960404495917,0.01351316395735152
D2 4W,0,30,20,0,7,1,0.6666666666666666,0,0.23333333333333334,D2,4,control,0,D24c,Mv,seedling,0.00216542109631385,0.04558115596100679,0.10389549145847908
D2 5W,0,30,30,0,13,1,1,0,0.43333333333333335,D2,5,control,0,D25c,Mv,seedling,0.00293851836273634,0.10314856633329002,0.28107058551699066
D2 7W,0,30,23,2,8,1,0.7666666666666667,0.06666666666666667,0.26666666666666666,D2,7,control,0,D27c,Mv,seedling,0.01660586916992565,0.10949466421957615,0.4094858638281606
D3 2F,0,30,28,3,12,1,0.9333333333333333,0.1,0.4,D3,2,fungicide,1,D32f,Mv,seedling,7.051355168806642e-4,0.01808271827427257,0.3001715604032139
D3 3W,0,30,24,6,10,1,0.8,0.2,0.3333333333333333,D3,3,control,0,D33c,Mv,seedling,0.00896663218345423,0.19759647814158657,0.403509678212284
D2 5F,0,30,23,2,3,1,0.7666666666666667,0.06666666666666667,0.1,D2,5,fungicide,1,D25f,Mv,seedling,0.00277549268890265,0.0064170493040595,0.02914060956311884
D2 7F,0,30,19,1,9,1,0.6333333333333333,0.03333333333333333,0.3,D2,7,fungicide,1,D27f,Mv,seedling,6.771155147810194e-4,3.143986828780276e-4,0.00341027088774346
D3 10W,0,30,17,8,6,1,0.5666666666666667,0.26666666666666666,0.2,D3,10,control,0,D310c,Mv,seedling,0.01538130550012609,0.02626784284357301,0.09363456222325511
D4 5W,0,30,19,4,1,1,0.6333333333333333,0.13333333333333333,0.03333333333333333,D4,5,control,0,D45c,Mv,seedling,7.286542477611277e-4,0.02233585592508012,0.05461657353848931
D2 6W,0,30,25,4,1,1,0.8333333333333334,0.13333333333333333,0.03333333333333333,D2,6,control,0,D26c,Mv,seedling,0.00122773343892772,0.05316319510284186,0.0908086512445656
D3 4W,0,30,5,6,4,1,0.16666666666666666,0.2,0.13333333333333333,D3,4,control,0,D34c,Mv,seedling,0.00502332594302471,0.04528982406868492,0.3386116565841314
D3 6W,0,30,16,6,3,1,0.5333333333333333,0.2,0.1,D3,6,control,0,D36c,Mv,seedling,0.00101102338369951,0.06089964276745863,0.2796659743909573
D4 1W,0,30,15,4,2,1,0.5,0.13333333333333333,0.06666666666666667,D4,1,control,0,D41c,Mv,seedling,0.00243230647585235,0.05097180658371395,0.19004957934340275
D1 5W,1,30,28,1,3,1,0.9333333333333333,0.03333333333333333,0.1,D1,5,control,0,D15c,Mv,seedling,0.00383446003329143,NA,0.01882636954503249
D2 10F,1,30,28,1,3,1,0.9333333333333333,0.03333333333333333,0.1,D2,10,fungicide,1,D210f,Mv,seedling,0.00118519712329401,8.870756877446014e-4,NA
D4 4W,1,30,26,7,1,1,0.8666666666666667,0.23333333333333334,0.03333333333333333,D4,4,control,0,D44c,Mv,seedling,0.00104131316286739,0.06844452014008054,0.31324104781298423
D1 3F,1,30,25,0,3,1,0.8333333333333334,0,0.1,D1,3,fungicide,1,D13f,Mv,seedling,6.618686825729315e-5,5.139692018684986e-4,0.00125318750976562
D4 10W,1,30,22,23,1,1,0.7333333333333333,0.7666666666666667,0.03333333333333333,D4,10,control,0,D410c,Mv,seedling,8.242659867208604e-4,0.05292049166981681,0.2431616904918072
D2 9F,1,30,25,0,13,1,0.8333333333333334,0,0.43333333333333335,D2,9,fungicide,1,D29f,Mv,seedling,0.00151957000018627,0.00179992651155641,0.02459196875202255
D3 7F,1,30,27,3,5,1,0.9,0.1,0.16666666666666666,D3,7,fungicide,1,D37f,Mv,seedling,0.00510808276050877,0.02267429069870664,0.03714796695339698
D1 1F,1,29,28,0,11,1,0.9655172413793104,0,0.3793103448275862,D1,1,fungicide,1,D11f,Mv,seedling,1.3100255347870275e-4,NA,4.6358827347197545e-4
D2 6F,1,29,26,2,6,1,0.896551724137931,0.06896551724137931,0.20689655172413793,D2,6,fungicide,1,D26f,Mv,seedling,0.00144412439880803,0.01616741821360655,0.01367442612272235
D3 1W,1,30,25,7,6,1,0.8333333333333334,0.23333333333333334,0.2,D3,1,control,0,D31c,Mv,seedling,0.00100670877237099,0.12460607657761526,0.32721179001012796
D1 7W,1,30,26,7,5,1,0.8666666666666667,0.23333333333333334,0.16666666666666666,D1,7,control,0,D17c,Mv,seedling,0.03186966526189141,0.05454303082169625,0.2188654278207228
D2 8F,1,29,24,1,7,1,0.8275862068965517,0.034482758620689655,0.2413793103448276,D2,8,fungicide,1,D28f,Mv,seedling,0.01314277385346298,0.01181283103677463,0.04869342471475273
D2 2W,1,30,24,0,5,1,0.8,0,0.16666666666666666,D2,2,control,0,D22c,Mv,seedling,0.00911926022772431,0.04712783376566882,0.3818708230396592
