d_in,iter,A0,S0,P0,L0,simtime,mv_ndis,ev_ndis,mv_ydis,ev_ydis
0.05,1,0,0,0,0,2,120386.61220444879,13599.053223516974,86388.47475823088,7394.448394151772
0.05,2,0,0,0,0,2,40314.35122886232,137001.77698519104,49507.76890235776,54080.61000189609
0.05,3,0,0,0,0,2,149313.98773959515,107531.08600227907,56494.98502452218,39116.04596167398
0.05,4,0,0,0,0,2,68351.75866019339,4827.910760364691,57701.98216885668,12363.934172409125
0.05,5,0,0,0,0,2,115094.89225745581,39578.621425147445,55529.021681791346,20480.840859502732
0.05,6,0,0,0,0,2,113051.80426146943,38357.95942580099,59109.48875894304,3858.8588893381284
0.05,7,0,0,0,0,2,25386.174463846295,4964.675641663903,41782.448692738006,11464.95088719476
0.05,8,0,0,0,0,2,22597.239981660605,17224.717042065444,67925.54650319967,6744.67950615473
0.05,9,0,0,0,0,2,76019.35705941323,582654.9712417747,57044.95010969869,43086.057214464534
0.05,10,0,0,0,0,2,61859.091373343814,65867.98560545623,107763.57397717646,5310.044521546812
0.05,11,0,0,0,0,2,578627.5347905098,15315.236660119164,77341.11985751348,12891.91891267303
0.05,12,0,0,0,0,2,75110.79466531039,112739.83986248978,38033.717902287724,17023.805512149585
0.05,13,0,0,0,0,2,56755.659146431826,34881.25607667839,54136.49943176318,12940.765624624522
0.05,14,0,0,0,0,2,55662.81752066383,237406.3084605026,47877.77812945668,8161.474522125536
0.05,15,0,0,0,0,2,70599.86829155276,11174.801816835741,40990.75145756774,8845.940553257458
0.05,16,0,0,0,0,2,133484.66403437714,30047.050843161232,44631.85355169367,34171.18856012326
0.05,17,0,0,0,0,2,92461.36057263185,27112.679587378218,56926.3049457454,13590.174038868587
0.05,18,0,0,0,0,2,84119.37398619507,74764.42503801869,59424.18830451485,17402.799836092214
0.05,19,0,0,0,0,2,72375.14984864085,36780.23724877805,67913.17691836464,17620.000082374198
0.05,20,0,0,0,0,2,85306.0987413212,27651.47771615854,65531.479386955834,12825.795297379449
0.05,21,0,0,0,0,2,99363.10932803726,14416.131831216402,84602.69660016405,4468.936610704872
0.05,22,0,0,0,0,2,67608.09660201972,56176.48988441287,90065.35593010542,22666.717355327506
0.05,23,0,0,0,0,2,7180.665468556621,200418.60120400402,39779.04977417404,20557.373245313996
0.05,24,0,0,0,0,2,95225.62649693796,37576.39640139206,78528.96210763884,12854.046847241309
0.05,25,0,0,0,0,2,65475.87877787557,8398.004894700882,54609.97496626531,14613.537430495482
0.05,26,0,0,0,0,2,194393.71430007563,407509.36108475935,55847.05413009935,34725.291264002866
0.05,27,0,0,0,0,2,381182.2803603856,48971.60727206918,68375.59223146993,15125.243554351293
0.05,28,0,0,0,0,2,78195.26282888977,9587.534202799325,65075.55985138716,12013.503622860786
0.05,29,0,0,0,0,2,105736.62031304778,60072.62907104837,52417.509683015225,19838.365815652007
0.05,30,0,0,0,0,2,775642.0974001478,38827.101470708054,74034.4786339113,15225.679407845984
0.05,31,0,0,0,0,2,89089.81226743305,9425.648473493799,58111.186407296234,6667.470557415013
0.05,32,0,0,0,0,2,62037.04262711426,59212.96716443548,61827.77739672448,12207.70190980153
0.05,33,0,0,0,0,2,165745.02281564946,59557.10546399903,63727.94209973998,16302.516944787305
0.05,34,0,0,0,0,2,42060.97264247213,6588.577549625614,47053.81224884772,10607.276321027224
0.05,35,0,0,0,0,2,99561.27370891056,36367.4916088625,55679.81380041462,18682.937388986902
0.05,36,0,0,0,0,2,72138.50007548723,149154.40322946073,67846.91399081088,16837.364058273768
0.05,37,0,0,0,0,2,55282.821605586905,181039.7412519733,54172.239782963035,18415.237724466257
0.05,38,0,0,0,0,2,141022.16468692917,37535.32802060273,91264.63707484513,13647.238711375294
0.05,39,0,0,0,0,2,95680.10514562066,7014.128754505296,87446.31825814364,1587.007982002895
0.05,40,0,0,0,0,2,21510.63899230917,10391.015170385856,41436.63308348572,3219.963505691504
0.05,41,0,0,0,0,2,3109.2061476107074,91872.64311245907,76457.02161406823,7105.395466932071
