year,focal,background,Estimate,Est.Error,CI.Lower,CI.Upper
2018,Ev adult,Ev adult,-0.9258105355565602,1.012638808432191,-2.9157345160802457,1.0609746482612734
2018,Ev seedling,Ev adult,-2.017169493261736,1.4074902293459992,-4.757434288481878,0.7122591301127614
2018,Mv,Ev adult,-0.474684921602807,0.8048160973153038,-2.0486793497810716,1.1073662130430213
2018,Ev adult,Ev seedling,-0.09797597602189789,1.4454479477190743,-2.9090043943540347,2.7165770649481855
2018,Ev seedling,Ev seedling,0.13724230188405043,1.2622112545873825,-2.3326010189814474,2.5962532254483652
2018,Mv,Ev seedling,0.36146929726913285,0.9740887312043037,-1.568631384706242,2.260089775402405
2018,Ev adult,Mv,-0.20608584023209237,1.0492699599064157,-2.251552749957091,1.8305185439265654
2018,Ev seedling,Mv,-0.5887699450184459,1.086177541384506,-2.694852884208318,1.50117587710702
2018,Mv,Mv,0.03205494731118272,0.7413498562250657,-1.4456468962764026,1.4694637914372124
2019,Ev adult,Ev adult,-0.4962472210376906,0.6594195411686986,-1.7967878465785556,0.783110571641129
2019,Ev seedling,Ev adult,1.1251377702787817,0.6841657256764099,-0.21496482232971192,2.4719396252332717
2019,Mv,Ev adult,0.13232666315832978,0.5398439320136913,-0.9211629832885727,1.181102332417813
2019,Ev adult,Ev seedling,0.11416498746130052,0.9835210465326129,-1.8378370700466122,2.0469889831259644
2019,Ev seedling,Ev seedling,1.8706728958417616,0.8804872513250894,0.13235549708602917,3.6014243475808203
2019,Mv,Ev seedling,0.6779496086572845,0.7190690226179658,-0.7291466495741662,2.106184206901629
2019,Ev adult,Mv,-0.13277480171431366,0.9273687071122614,-1.967371099641463,1.6888210540150201
2019,Ev seedling,Mv,1.097969558930623,0.9119193125984185,-0.7114911782464847,2.8885911876265475
2019,Mv,Mv,0.30427162242359923,0.6657005969873352,-1.0044832929776848,1.6210232977366632
