time,species,N,alpha_AA,alpha_PA
1,Annual,44987.520550040725,0.00116224622350737,0
2,Annual,44987.30282527387,0.00116224622350737,0
3,Annual,44864.29382631236,0.00116224622350737,0
4,Annual,44852.98006306042,0.00116224622350737,0
5,Annual,63749.87624643569,0.00116224622350737,0
6,Annual,64496.07730750754,0.00116224622350737,0
7,Annual,64529.40102829182,0.00116224622350737,0
8,Annual,64557.81700405517,0.00116224622350737,0
9,Annual,64582.18262561476,0.00116224622350737,0
10,Annual,64597.76032621219,0.00116224622350737,0
11,Annual,64606.17923371989,0.00116224622350737,0
12,Annual,64610.13916630695,0.00116224622350737,0
13,Annual,64611.7191494049,0.00116224622350737,0
14,Annual,64612.1907793384,0.00116224622350737,0
15,Annual,64612.2262727405,0.00116224622350737,0
16,Annual,64612.13574044598,0.00116224622350737,0
17,Annual,64612.03952025746,0.00116224622350737,0
18,Annual,64611.97110631472,0.00116224622350737,0
19,Annual,64611.93088153114,0.00116224622350737,0
20,Annual,64611.910357958965,0.00116224622350737,0
21,Annual,64611.90129054236,0.00116224622350737,0
22,Annual,64611.8980109968,0.00116224622350737,0
23,Annual,64611.89725889606,0.00116224622350737,0
24,Annual,64611.89740320993,0.00116224622350737,0
25,Annual,64611.89774016542,0.00116224622350737,0
26,Annual,64611.89802526953,0.00116224622350737,0
27,Annual,64611.89820978704,0.00116224622350737,0
28,Annual,64611.898311512115,0.00116224622350737,0
29,Annual,64611.89836037636,0.00116224622350737,0
30,Annual,64611.898380393344,0.00116224622350737,0
31,Annual,64611.8983866942,0.00116224622350737,0
32,Annual,64611.89838745413,0.00116224622350737,0
33,Annual,64611.89838651947,0.00116224622350737,0
34,Annual,64611.898385422515,0.00116224622350737,0
35,Annual,64611.89838461711,0.00116224622350737,0
36,Annual,64611.89838413406,0.00116224622350737,0
37,Annual,64611.89838388327,0.00116224622350737,0
38,Annual,64611.89838377033,0.00116224622350737,0
39,Annual,64611.89838372821,0.00116224622350737,0
40,Annual,64611.89838371758,0.00116224622350737,0
41,Annual,64611.898383718464,0.00116224622350737,0
42,Annual,64611.89838372226,0.00116224622350737,0
43,Annual,64611.89838372538,0.00116224622350737,0
44,Annual,64611.89838372771,0.00116224622350737,0
45,Annual,64611.898383729014,0.00116224622350737,0
46,Annual,64611.89838372955,0.00116224622350737,0
47,Annual,64611.89838372991,0.00116224622350737,0
48,Annual,64611.898383730026,0.00116224622350737,0
49,Annual,64611.898383729975,0.00116224622350737,0
50,Annual,64611.898383730026,0.00116224622350737,0
1,Perennial first-year,14325.761300285702,0.00116224622350737,0
2,Perennial first-year,14658.675151200763,0.00116224622350737,0
3,Perennial first-year,14708.010142027739,0.00116224622350737,0
4,Perennial first-year,14699.095055570157,0.00116224622350737,0
5,Perennial first-year,12563.267201943727,0.00116224622350737,0
6,Perennial first-year,9952.212339391914,0.00116224622350737,0
7,Perennial first-year,8353.927818942178,0.00116224622350737,0
8,Perennial first-year,7544.887849980176,0.00116224622350737,0
9,Perennial first-year,7179.817509691407,0.00116224622350737,0
10,Perennial first-year,7036.90816171607,0.00116224622350737,0
11,Perennial first-year,6994.407387399666,0.00116224622350737,0
12,Perennial first-year,6991.059120970776,0.00116224622350737,0
13,Perennial first-year,6999.060273331734,0.00116224622350737,0
14,Perennial first-year,7007.634895937496,0.00116224622350737,0
15,Perennial first-year,7013.753519490077,0.00116224622350737,0
16,Perennial first-year,7017.359978511917,0.00116224622350737,0
17,Perennial first-year,7019.204007206927,0.00116224622350737,0
18,Perennial first-year,7020.020639123232,0.00116224622350737,0
19,Perennial first-year,7020.3171166131915,0.00116224622350737,0
20,Perennial first-year,7020.385911983125,0.00116224622350737,0
21,Perennial first-year,7020.3736356622285,0.00116224622350737,0
22,Perennial first-year,7020.343700602447,0.00116224622350737,0
23,Perennial first-year,7020.318228390579,0.00116224622350737,0
24,Perennial first-year,7020.301698155854,0.00116224622350737,0
25,Perennial first-year,7020.292566738886,0.00116224622350737,0
26,Perennial first-year,7020.288171640172,0.00116224622350737,0
27,Perennial first-year,7020.286366414492,0.00116224622350737,0
28,Perennial first-year,7020.285795072506,0.00116224622350737,0
29,Perennial first-year,7020.2857235855845,0.00116224622350737,0
30,Perennial first-year,7020.285805835678,0.00116224622350737,0
31,Perennial first-year,7020.285903598494,0.00116224622350737,0
32,Perennial first-year,7020.28597565835,0.00116224622350737,0
33,Perennial first-year,7020.286018969663,0.00116224622350737,0
34,Perennial first-year,7020.286041490946,0.00116224622350737,0
35,Perennial first-year,7020.286051659796,0.00116224622350737,0
36,Perennial first-year,7020.286055468516,0.00116224622350737,0
37,Perennial first-year,7020.286056437432,0.00116224622350737,0
38,Perennial first-year,7020.2860563614195,0.00116224622350737,0
39,Perennial first-year,7020.286056032683,0.00116224622350737,0
40,Perennial first-year,7020.286055737492,0.00116224622350737,0
41,Perennial first-year,7020.286055541106,0.00116224622350737,0
42,Perennial first-year,7020.286055430663,0.00116224622350737,0
43,Perennial first-year,7020.286055376588,0.00116224622350737,0
44,Perennial first-year,7020.286055353861,0.00116224622350737,0
45,Perennial first-year,7020.286055346334,0.00116224622350737,0
46,Perennial first-year,7020.286055345112,0.00116224622350737,0
47,Perennial first-year,7020.286055345917,0.00116224622350737,0
48,Perennial first-year,7020.286055347036,0.00116224622350737,0
49,Perennial first-year,7020.286055347895,0.00116224622350737,0
50,Perennial first-year,7020.286055348399,0.00116224622350737,0
1,Perennial adult,28043.97422498282,0.00116224622350737,0
2,Perennial adult,28032.54441136972,0.00116224622350737,0
